"","1-b","1-m","10-b","10-m","5-b","5-m","s-b","s-m"
"Cre02.g116900.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g116950.t1.2.v5.5",0,66.7487300032992,10.3314149191116,8.53589126146943,5.76906153454226,0,0,0
"Cre02.g117000.t1.1.v5.5",4.95230388631083,1.9631979412735,38.8318698683848,3.65823911205833,5.51265879967371,46.7587221948471,49.27040634154,10.5301139331799
"Cre02.g117050.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117050.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117050.t3.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117100.t1.2.v5.5",0,0.981598970636752,0.926264785851381,0.203235506225463,0,0,0,0
"Cre02.g117150.t1.2.v5.5",0,0,0.21375341211955,0,0.384604102302817,0.925915290987071,0,0
"Cre02.g117175.t1.1.v5.5",0,0,0,0,5.76906153454226,0,0,0
"Cre02.g117200.t1.2.v5.5",4.95230388631083,0,37.7631028077871,12.3973658797532,12.9483381108615,0,0,0
"Cre02.g117250.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117250.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117300.t1.2.v5.5",0,0,14.5352320241294,24.7947317595064,17.1789832361925,0,118.248975219696,0
"Cre02.g117350.t1.1.v5.5",0,0,22.3016059978063,8.94236227392035,7.94848478092489,0,0,0
"Cre02.g117376.t1.1.v5.5",0,0,0,3.45500360583286,0,0,0,0
"Cre02.g117400.t1.1.v5.5",0,0,6.55510463833285,0,8.58949161809625,0.925915290987071,0,0
"Cre02.g117410.t1.2.v5.5",0,0,6.12759781409375,7.92618474279304,13.3329422131643,0,0,0
"Cre02.g117450.t1.1.v5.5",9.90460777262166,0,0.0712511373731832,0,3.7178396555939,0.925915290987071,0,0
"Cre02.g117500.t1.2.v5.5",0,0,14.4639808867562,0.203235506225463,5.89726290197653,6.4814070369095,9.854081268308,0
"Cre02.g117550.t1.2.v5.5",0,81.4727145628505,14.1789763372635,25.4044382781828,21.9224338312606,20.8330940472091,0,0
"Cre02.g117600.t1.1.v5.5",0,2.94479691191026,0,0,0,0,0,0
"Cre02.g117650.t1.1.v5.5",0,0,4.70257506663009,2.23559056848009,5.1280546973709,0,0,0
"Cre02.g117676.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117700.t1.1.v5.5",0,0.981598970636752,15.176492260488,20.1203151163208,0.769208204605635,0,0,0
"Cre02.g117750.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117781.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g117813.t1.2.v5.5",737.893279060314,0,59.7797042561007,27.4367933404374,36.5373897187676,21.2960516927026,0,0
"Cre02.g117850.t1.2.v5.5",1782.8293990719,0.981598970636752,53.2245996177678,52.2315250999439,78.0746327674719,13.8887293648061,9.854081268308,0
"Cre02.g117900.t1.1.v5.5",440.755045881664,0.981598970636752,17.884035480669,15.2426629669097,8.20488751579344,6.4814070369095,0,0
