"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre14.g633400.t1.1.v5.5",12.5308740974479,-4.40305750336404,1.54811650448262,-2.84413833882324,0.00445317086973994,0.820199167458811
"Cre15.g641150.t1.1.v5.5",33.0014484363109,-3.87414418912069,1.3368847626705,-2.89788940475457,0.00375683040945285,0.820199167458811
"Cre15.g642050.t1.2.v5.5",8.53864132968834,-4.41221741261992,1.54560165194943,-2.85469247982162,0.00430785189169359,0.820199167458811
"Cre16.g654950.t1.1.v5.5",27.2556828199052,-3.83035048368568,1.33231738733151,-2.87495346086976,0.00404087054564308,0.820199167458811
"Cre17.g745247.t1.1.v5.5",186.409372262237,4.39059439919922,1.54717613787439,2.83781160510354,0.00454239847135869,0.820199167458811
"Cre01.g055966.t1.1.v5.5",23.4836036127609,-4.08106789890464,1.44372971156711,-2.82675341942974,0.00470225209225523,0.824934818472475
"Cre03.g186700.t1.1.v5.5",8.6107604946479,-4.4017753804236,1.55663684372643,-2.82774713843094,0.00468768170298683,0.824934818472475
"Cre17.g740050.t1.1.v5.5",10.7663772371216,-4.42600610523267,1.56819698806833,-2.82235340260699,0.00476726117104248,0.824934818472475
"Cre10.g450600.t1.1.v5.5",6.48390212202169,-4.2840346352466,1.52155239960464,-2.8155682553948,0.00486910526604272,0.831016198762004
"Cre02.g120001.t1.1.v5.5",21.7415533742047,-4.58751362050392,1.63513712041955,-2.80558343591811,0.00502255762921192,0.832053419174738
"Cre10.g439600.t1.1.v5.5",357.283611515313,-3.64257005365419,1.299896316254,-2.80220045868829,0.00507553253529819,0.832053419174738
"Cre16.g680450.t1.1.v5.5",372.91794835068,3.78247006964874,1.34581909448342,2.81053381182751,0.00494593918344033,0.832053419174738
"Cre08.g370050.t1.1.v5.5",11.1447673489039,-3.99487780258159,1.43368062712265,-2.78644889733857,0.00532890195954796,0.835843151744411
"Cre09.g397771.t1.1.v5.5",107.103508461007,-3.75545968899198,1.34887642178866,-2.78413917563486,0.0053669999309377,0.835843151744411
"Cre09.g403600.t1.1.v5.5",37.8034395725881,-4.19762825964954,1.50401374742198,-2.79095072557991,0.00525534721742108,0.835843151744411
"Cre16.g690000.t1.2.v5.5",249.505260071767,3.83552893187447,1.37291031064891,2.79372141218868,0.00521053454784956,0.835843151744411
"Cre02.g104700.t1.2.v5.5",278.72590859999,3.61815560830345,1.30582773781824,2.77077558051311,0.00559229554294917,0.83838597660018
"Cre03.g186850.t1.1.v5.5",30.346719182053,-3.85402013917736,1.39510593455547,-2.76252866805085,0.00573555246534934,0.83838597660018
"Cre04.g222500.t1.1.v5.5",45.2225279116158,-4.12366273290375,1.49075658332571,-2.76615429978804,0.00567216892640491,0.83838597660018
"Cre09.g413150.t1.1.v5.5",303.092811037348,3.39309802279319,1.22768488907334,2.76381834865974,0.00571293335668291,0.83838597660018
"Cre10.g438000.t1.1.v5.5",13.2000638366133,-4.26128348142573,1.5441626569641,-2.75960790931418,0.00578707713200221,0.83838597660018
"Cre13.g563550.t1.1.v5.5",14.0863444963692,-4.02216251276605,1.45290636465549,-2.76835631711187,0.00563398219133044,0.83838597660018
