"","1-b","1-t","10-b","10-t","5-b","5-t","s-b","s-t"
"Cre08.g371000.t1.1.v5.5",27.0092703127701,1.39253758471219,8.81211669514993,13.0091497020339,8.03860407436212,0,0,0
"Cre08.g371052.t1.1.v5.5",0,0,0,0.0942692007393758,0,0,0,0
"Cre08.g371052.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g371150.t1.2.v5.5",0,0,0,0.282807602218127,0.167470918215878,0,0,0
"Cre08.g371200.t1.2.v5.5",0,0,0,0.188538401478752,0.167470918215878,0,0,0
"Cre08.g371250.t1.1.v5.5",0,0,4.44968268764997,0,0,0,0,0
"Cre08.g371301.t1.1.v5.5",0,0,0,0,0,0,0,11.3121437983589
"Cre08.g371350.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g371400.t1.1.v5.5",0,67.1899384623634,9.68460349664992,28.9406446269884,5.52654030112396,0,0,0
"Cre08.g371450.t1.2.v5.5",0,39.3391867681195,6.36915365094995,2.35673001848439,0,0,0,0
"Cre08.g371450.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g371500.t1.1.v5.5",0,0,4.97317476854996,2.45099921922377,1.67470918215878,0,0,0
"Cre08.g371533.t1.1.v5.5",0,0,0,0.754153605915006,0,0,0,0
"Cre08.g371566.t1.1.v5.5",0,0,3.31544984569997,4.14784483253253,4.52171479182869,0,0,0
"Cre08.g371600.t1.2.v5.5",124.242643438742,0,3.75169324644997,3.39369122661753,2.17712193680641,0,2385.92839553728,0
"Cre08.g371650.t1.2.v5.5",0,84.9447926674439,4.18793664719997,13.291957304252,17.9193882490989,0,0,0
"Cre08.g371700.t1.1.v5.5",0,0,0,1.22549960961189,0,0,0,0
"Cre08.g371751.t1.1.v5.5",0,0,5.67116420974996,3.58222962809628,6.86630764685098,0,0,0
"Cre08.g371800.t1.2.v5.5",0,0,15.7047624269999,2.7338068214419,7.03377856506686,0,0,0
"Cre08.g371801.t1.2.v5.5",0,0,7.32888913259994,5.09053683992629,5.1915984646922,0,0,0
"Cre08.g371840.t1.1.v5.5",0,0,0.436243400749997,1.41403801109064,1.33976734572702,0,0,0
"Cre08.g371879.t1.1.v5.5",0,0,0,0.0942692007393758,0,0,0,0
"Cre08.g371918.t1.1.v5.5",0,0,0,1.69684561330876,0,0,0,0
"Cre08.g371957.t1.1.v5.5",102.635227188526,0,37.4296837843497,21.7761853707958,21.2688066134164,0,72.3008604708267,0
"Cre08.g372000.t1.2.v5.5",0,0,5.49666684944996,12.537803698337,16.2446790669401,0.911659297872563,0,0
"Cre08.g372050.t1.2.v5.5",0,0,6.71814837154995,5.37334444214442,0,0,0,0
"Cre08.g372100.t1.2.v5.5",1128.98749907379,1622.65442058588,918.117861218443,1290.07401211836,579.28190610872,350.988829680937,2365.27100683133,79.1850065885124
"Cre08.g372150.t1.2.v5.5",0,0,0,1.03696120813313,2.34459285502229,0,0,0
"Cre08.g372200.t1.2.v5.5",16.2055621876621,0,128.866300581549,506.414146371927,119.574235606137,228.826483766013,0,22.6242875967178
"Cre08.g372250.t1.2.v5.5",10.803708125108,60.2272505388024,65.4365101124995,95.4947003489877,28.8049979331309,0,0,11.3121437983589
"Cre08.g372300.t1.2.v5.5",5.40185406255402,0,4.01343928689997,36.5764498868778,9.7133132565209,1.82331859574513,340.846913648183,0
"Cre08.g372350.t1.1.v5.5",0,0,8.46312197454993,3.95930643105378,0.502412754647633,0,0,0
"Cre08.g372400.t1.2.v5.5",0,132.987339340015,38.4766679461497,40.2529487157135,30.9821198699373,0,0,0
"Cre08.g372450.t1.2.v5.5",21.6074162502161,910.371446005597,656.546318128745,980.588226090987,1647.74636432602,977.298767319388,20.6573887059505,45.2485751934356
"Cre08.g372500.t1.2.v5.5",5.40185406255402,89.8186742139365,25.1276198831998,18.0996865419601,9.88078417473677,5.46995578723538,51.6434717648762,0
