"","1-m","1-t","10-m","10-t","5-m","5-t","s-m","s-t"
"Cre01.g008150.t1.1.v5.5",88.5555447751355,131.845102537801,237.347432080629,585.880571869798,225.399931317828,316.353124558411,0,0
"Cre01.g008200.t1.1.v5.5",1.02971563692018,0,4.88460571166869,104.737970903268,0,0,0,0
"Cre01.g008250.t1.2.v5.5",1.02971563692018,0,0,3.99389927957987,0,0,0,0
"Cre01.g008300.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g008300.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g008350.t1.1.v5.5",1.02971563692018,0,7.99299116454876,2.03770371407136,24.7274186255845,0,0,0
"Cre01.g008402.t1.1.v5.5",10.2971563692018,1.82695292200186,6.88285350280588,6.60216003359121,0.47552728126124,0,0,0
"Cre01.g008450.t1.2.v5.5",0,0,28.1974966082693,7.98779855915974,23.3008367818008,0,10.1666236033383,0
"Cre01.g008500.t1.2.v5.5",0,0,0,4.80898076520841,0,0,0,0
"Cre01.g008550.t1.1.v5.5",8.23772509536144,147.06971022115,21.536670637812,12.2262222844282,8.55949106270232,0,0,0
"Cre01.g008600.t1.1.v5.5",197.705402288675,120.578892852123,12.6555693438689,27.7942786599334,0.47552728126124,3.41081535912033,132.166106843397,0
"Cre01.g008650.t1.1.v5.5",4.11886254768072,0,35.3023776434237,51.513149891724,29.9582187194581,0,0,0
"Cre01.g008700.t1.2.v5.5",0,0,5.10663324401727,7.49874966778261,10.4616001877473,0,0,0
"Cre01.g008750.t1.2.v5.5",0,0,0,0.570557039939981,0,0,0,0
"Cre01.g008800.t1.1.v5.5",0,0.304492153666977,0,0.896589634191399,0.47552728126124,0,0,0
"Cre01.g008850.t1.1.v5.5",7.20800945844126,135.194516228138,78.153691386699,122.832779884222,29.9582187194581,75.0379379006472,20.3332472066765,0
"Cre01.g008891.t1.2.v5.5",0,0,17.318147523189,14.1009097013738,16.6434548441434,0,0,0
"Cre01.g008900.t1.2.v5.5",0,0,0,0,0,0.852703839780082,0,0
"Cre01.g008950.t1.2.v5.5",0,0,11.3234041497774,3.83088298245416,0,64.8054918232862,0,0
"Cre01.g008950.t2.1.v5.5",0,0,0,0.815081485628545,0,0,0,0
"Cre01.g008976.t1.1.v5.5",0,0,0,0.489048891377127,0,0,0,0
"Cre01.g009000.t1.1.v5.5",0,0,6.43879843810873,9.78097782754254,0,0,0,0
"Cre01.g009025.t1.1.v5.5",0,0.304492153666977,0.222027532348577,2.93429334826276,22.8253095005395,0,0,0
"Cre01.g009050.t1.2.v5.5",0,0,0,0.0815081485628545,0,0,0,0
"Cre01.g009101.t1.1.v5.5",0,0.304492153666977,27.3093864788749,19.5619556550851,0,0,0,0
"Cre01.g009150.t1.1.v5.5",0,71.2511639580726,8.88110129394307,8.88438819335114,12.8392365940535,0,0,0
"Cre01.g009200.t1.2.v5.5",0,0,7.99299116454876,11.4926489473625,0,0,0,0
"Cre01.g009250.t1.1.v5.5",1.02971563692018,0.304492153666977,45.9596991961554,22.985297894725,41.3708734697279,73.3325302210871,10.1666236033383,81.4734766918102
"Cre01.g009300.t1.1.v5.5",10.2971563692018,17.9650370663516,108.127408253757,123.892385815539,109.846801971346,87.8284954973485,0,11.63906809883
"Cre01.g009325.t1.1.v5.5",0,0,0.222027532348577,3.5863585367656,13.790291156576,0,0,0
